Running with TEMP=0.5, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Platelet-Derived Growth Factor Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Gold Nanoparticle -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Lipid Metabolism, Endolysosome
GO Term: Preribosome Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Rna Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Renal Amino Acid Absorption -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Bub1-Bub3 Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Ire1 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Glucose Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Cell Cycle, Immune Response
GO Term: Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Terminal Web -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Synapse
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Epigenetic, Autophagy, Cell Cycle
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Proteostasis
GO Term: 3M Complex -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Embryonic Lung Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Embryonic Liver Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Embryonic Brain Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Protein Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Cgrp Receptor Complex -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Structural Stabilization
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Adrenomedullin Binding -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Vasculature, Signal Transduction, Cell Proliferation, Inflammation, Hormonal Regulation
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Rzz Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Ryanodine Receptor Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Stereocilia Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Mirna Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: Peroxisomal Importomer Complex -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Immune Response
GO Term: Upper Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: F-Box Domain Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Linear Polyubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Endolysosome
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Leptin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Omegasome -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Protein Autosumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Mtrec Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Ultrasound -> Biodomain: Oxidative Stress, Apoptosis, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: RNA Spliceosome, RNA Metabolism, Proteostasis, Epigenetic, DNA Repair
GO Term: Dense Core Granule Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Ckm Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Cry-Per Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Bone Regeneration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Dom34-Hbs1 Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Neuron Projection Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Tert-Rmrp Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Myelination
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Phospholipase D Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Cardiac Troponin Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Epigenetic
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Aip1-Ire1 Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Dark Adaptation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Chop-Atf4 Complex -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Anpr-A Receptor Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Chop-Atf3 Complex -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Synapse
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Phospholamban Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Cell Cycle
GO Term: Proximal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Response To Iron Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Inflammation, Transcription Factors, Hematopoiesis, Cell Signaling
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Calprotectin Complex -> Biodomain: Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: S100A8 Complex -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: S100A9 Complex -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Nkx-2.5 Complex -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Structural Stabilization
GO Term: Anxa2-P11 Complex -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Csf1-Csf1R Complex -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Vasculature
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Ush2 Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Protein Depalmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Nucleolar Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Mad1 Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Conditioned Place Preference -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Survivin Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Axonemal Central Apparatus -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Axonemal Central Pair Projection -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Galectin Complex -> Biodomain: Glycosylation, Immune Response, Apoptosis, Cell Adhesion, Proteostasis
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Mitochondrial Metabolism
GO Term: Titin-Telethonin Complex -> Biodomain: Structural Stabilization, Muscle System, Physiological Response, Cellular Integrity, Protein Complex Assembly
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature, Apoptosis
GO Term: Microvesicle -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein Sialylation -> Biodomain: Proteostasis, Immune Response, Synapse, Myelination, Lipid Metabolism
GO Term: Earp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Cellular Detoxification -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Post-Translational Modification, Protein Degradation
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Growth Cone Lamellipodium -> Biodomain: Structural Stabilization, Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Arrestin Family Protein Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, Endolysosome
GO Term: Myofibroblast Contraction -> Biodomain: Structural Stabilization, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Proximal Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Dsdna -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Signal Transduction, Developmental Biology, Epigenetic, Cell Cycle, Proteostasis
GO Term: Gli-Sufu Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Synapse
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Dorsal Root Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Basolateral Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Proteostasis, Autophagy
