Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Signal Transduction, Neuronal Signaling, cAMP Signaling, Ion Channel Activity, Cardiac Conduction
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Lipid Metabolism
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Proteostasis
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Metal Binding and Homeostasis, Cell Cycle
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Cell Cycle
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Endolysosome, Autophagy, Synapse, Structural Stabilization, Vasculature
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Metal Binding and Homeostasis, Apoptosis
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Apoptosis
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Vasculature
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Transporters, Amino Acid Metabolism, Neurotransmitter Systems, Cellular Homeostasis, Nutrient Sensing
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Immune Response
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Endolysosome
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Structural Stabilization
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, DNA Repair, Autophagy, Epigenetic
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Oxygen Carrier Activity -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Endolysosome
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Mitochondrial Metabolism
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Synapse, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Synapse
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Myelination, Oxidative Stress, Immune Response
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Structural Stabilization
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Vasculature, Immune Response, Lipid Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Immune Response, APP Metabolism
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Vasculature, Structural Stabilization
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Snap Receptor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Androgen Binding -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Oxidative Stress
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Calcium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Mitochondrial Metabolism, Synapse
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Protein Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Endolysosome
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Proteostasis
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Gtp Binding -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Fk506 Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Galactose Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Mannose Binding -> Biodomain: Glycosylation, Immune Response, Carbohydrate Metabolism, Protein Processing, Intracellular Trafficking
GO Term: Glycosaminoglycan Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, APP Metabolism, Immune Response
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Folic Acid Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Synapse, Structural Stabilization
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Immune Response, Endolysosome
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Odorant Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Synapse
GO Term: Pheromone Binding -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Synapse, Immune Response
GO Term: Cellular Component -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome
GO Term: Extracellular Region -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Extracellular Space -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, APP Metabolism
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Annulate Lamellae -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Nucleoplasm -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, Cell Cycle, Immune Response, DNA Repair, Proteostasis
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, RNA Spliceosome
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Transcription, Gene Expression, Epigenetic, DNA Repair, Cell Cycle
