Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Multiple Spine Synapse Organization, Single Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amyloid-Beta Clearance By Transcytosis -> Biodomain: APP Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Amyloid-Beta Clearance By Cellular Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Glial Cell-Neuron Signaling -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neuron-Glial Cell Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Microtubule Anchoring At Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Monocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Reactive Gliosis -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Protein Localization To Cell-Cell Junction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Regulation Of Transepithelial Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Interleukin-37 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Cell-Cell Junction Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Interleukin-34 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Interleukin-32 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Extrasynaptic Signaling Via Gaba -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Poly-Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Fc Receptor-Mediated Immune Complex Endocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Glutathione Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Protein Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Protein De-2-Hydroxyisobutyrylase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Nad-Dependent Protein Decrotonylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Nad-Dependent Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: Ccacca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Maternal-To-Zygotic Transition Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Sneeze Reflex -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Leydig Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Sensory Perception Of Itch -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Somatic Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Mitocytosis -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neuropeptide Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Purine Nucleotide Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Sulfate:Chloride Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Tmem240-Body -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Muramyl Dipeptide Kinase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Microfibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Macropinosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Multi-Pass Transmembrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Multi-Pass Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress, Autophagy
GO Term: Surfactant Secretion -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Ubiquitin Ligase Complex Scaffold Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Non-Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: G Protein-Coupled Glycine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Iodide Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Hypoxia-Inducible Factor-Proline Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Spermatid Cytoplasm Removal During Spermiation Of Flagellated Sperm -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Internal N(7)-Methylguanine-Containing Rna Reader Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Internal Mrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Spliceosome-Depend Formation Of Circular Rna -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Immune Response
GO Term: Chordate Pharynx Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Trna (Guanine(10)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Trna (Guanine(26)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Trna (Adenine(9)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna (Adenine(58)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Axonemal Microtubule Doublet Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Axonemal A Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Axonemal B Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Trna (Guanine(6)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna (Guanine(7)-N2)-Methyltransferase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, RNA Spliceosome
GO Term: Bis(Monoacylglycero)Phosphate Synthase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Structural Constituent Of Nuclear Lamina -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Ph-Gated Sodium Channel Activity -> Biodomain: Ion Channel, Acid-Base Homeostasis, Cell Signaling, Membrane Transport, Electrolyte Balance
GO Term: Protein-Rna Covalent Cross-Linking Repair -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Oxidative Stress, Autophagy
GO Term: Ph-Gated Monoatomic Ion Channel Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Protein-Dna Covalent Cross-Linking Activity -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Mrna Cap Methyltransferase Rnmt:Ramac Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Sperm Migration Through The Uterotubal Junction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Bicarbonate Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Rna Sequence-Specific Adaptor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Phospholipase C-Activating Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Trna Pseudouridine(38-40) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Trna Pseudouridine(55) Synthase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Trna Pseudouridine(13) Synthase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Trna Pseudouridine(38/39) Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Branched-Chain Alpha-Ketoacid Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Cd27 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: S-Nitrosoglutathione Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Chromatin Looping -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: 2-Oxoadipate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Oxoadipate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Magnesium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Dipeptide Uniporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Intestinal Iron Absorption -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Paracellular Transport -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Phospholipase C Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome, Vasculature
GO Term: Paracellular Tight Junction Channel Activity -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Autophagosome-Dependent Secretion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: L-Lactate Dehydrogenase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Stereocilium Bundle Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Vasculature, Cell Cycle
GO Term: Polyprenol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Dolichal Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Polyprenal Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mitochondrial Disulfide Relay System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrion-Mitochondrion Outer Membrane Tether Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Glycine-Gated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Beta-Arrestin-Dependent Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Endoplasmic Reticulum-Plasma Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Rho-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: 3-Demethoxyubiquinone 3-Hydroxylase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: G-Quadruplex Unwinding Activity -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, RNA Spliceosome, Cell Cycle
GO Term: Oligosaccharyltransferase Complex A -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Oligosaccharyltransferase Complex B -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Structural Stabilization
GO Term: Bile Acid-Gated Sodium Channel Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: U6 Snrna (Guanine-N(2))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Intac Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Integrator Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Trna 5-Taurinomethyluridine Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Transcription Pausing By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Transcription Initiation Surveillance -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Nadph-Iron-Sulfur [2Fe-2S] Protein Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna (Guanine(27)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Complement Activation, Gzmk Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Stalled Ribosome Sensor Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Ankyrin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ska Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: L-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Proteinogenic Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Virus-Like Capsid -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Immune Response, Autophagy
GO Term: Rna Ligase (Gtp) Activity -> Biodomain: RNA Spliceosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Lysosome Fission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Histone Methyltransferase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: S-Adenosyl-L-Methionine:S-Adenosyl-L-Homocysteine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S2 Phosphatase Activity -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Phosphatase Activity -> Biodomain: Transcription Regulation, Signaling, Gene Expression, Epigenetic, DNA Repair
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S7 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Broad Specificity Neutral L-Amino Acid:Basic L-Amino Acid Antiporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Co-Transcriptional Mrna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Cytosolic Mrna Polyadenylation -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Co-Transcriptional Rna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Nucleoside Import Across Plasma Membrane -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: K11-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Knl1/Spc105 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Membrane Bending Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: U6 Snrna 2'-O-Ribose Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rqc-Trigger Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Mitochondrial Small Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Inositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Co-Transcriptional Lncrna 3' End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Lncrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Dol-P-Man:Glcn-Acyl-Pi Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Gpi Anchored Protein Biosynthesis -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Dolichol Phosphate Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Autophagy
GO Term: Positive Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Vasculature, Endolysosome, Immune Response, Apoptosis
GO Term: Positive Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Protein Kinase C Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Lipid Metabolism, Tau Homeostasis
GO Term: Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Immune Response
