Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Apoptosis, Immune Response
GO Term: Mirna Catabolic Process -> Biodomain: Epigenetic, Autophagy, Endolysosome, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Cell Adhesion, Signal Transduction
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Cell Cycle
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Developmental Biology, Tau Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Proteostasis, Synapse
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Vasculature
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Proteostasis
GO Term: Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, APP Metabolism, Myelination
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cardiovascular, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Ectodermal Cell Differentiation -> Biodomain: Synapse, Myelination, Epigenetic, Cell Cycle, Tau Homeostasis
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Neurotransmitter Systems, Neuronal Signaling, Stress Response, Autonomic Nervous System
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Structural Stabilization, Autophagy
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Extracellular Matrix Organization, Vasculature, Immune Response
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Vasculature, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cancer, Cell Adhesion, Cell Motility, Extracellular Matrix, Cell Differentiation
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Myelination, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Vasculature
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Protein Kinase A Signaling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Autophagy
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Myelination, Proteostasis, Oxidative Stress
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Apoptosis
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Lipid Metabolism
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Hormone Levels -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Autophagy
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Autophagy
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Autophagy
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Immune Response
