Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Vasculature, Immune Response
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Calcium Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Synapse, Lipid Metabolism
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Proline:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, APP Metabolism
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Oxidative Stress, Autophagy
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxygen Carrier Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Tau Homeostasis
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Synapse
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Synapse, APP Metabolism
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Lipid Metabolism
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, APP Metabolism, Synapse, Immune Response
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Endolysosome, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, APP Metabolism
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Epigenetic, Oxidative Stress, Immune Response
GO Term: Androgen Binding -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Detection Of Calcium Ion -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, APP Metabolism
GO Term: Calmodulin Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Collagen Binding -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, APP Metabolism, Immune Response
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Tau Homeostasis, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Proteostasis, Lipid Metabolism
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Cell Cycle
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gtp Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Immune Response, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Fk506 Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Galactose Binding -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Mannose Binding -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Glycosaminoglycan Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Hyaluronic Acid Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, APP Metabolism
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Odorant Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, APP Metabolism
GO Term: Pheromone Binding -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Cellular Component -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Structural Stabilization
GO Term: Extracellular Region -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Xv Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Fibrillar Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Proteostasis, Immune Response
GO Term: Collagen Type Ii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, APP Metabolism
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Iv Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type V Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Vi Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Collagen Type Xi Trimer -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Basement Membrane -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Laminin-1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Laminin-2 Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Laminin-3 Complex -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Extracellular Space -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Oxidative Stress, Synapse
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Apoptosis, Proteostasis
GO Term: Nuclear Envelope -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Inner Membrane -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nuclear Envelope Lumen -> Biodomain: Tau Homeostasis, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nuclear Pore -> Biodomain: Proteostasis, DNA Repair, Structural Stabilization, Epigenetic, Immune Response
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Mitochondrial Metabolism, DNA Repair
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Replication Fork -> Biodomain: DNA Repair, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, Immune Response, Proteostasis, Synapse, Autophagy
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic,DNA Repair,Proteostasis,Mitochondrial Metabolism,Oxidative Stress
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, APP Metabolism, Proteostasis, Apoptosis, DNA Repair
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, APP Metabolism, Cell Cycle
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, APP Metabolism, Cell Cycle
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Epigenetic, DNA Repair
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, APP Metabolism, Proteostasis, DNA Repair
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
