Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Translational Termination -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Positive Regulation Of Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Dna Recombination -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Dna Recombination -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Catecholamine Metabolic Process -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Complement Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Exocytosis -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Regulation Of Female Receptivity -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Myelination, Structural Stabilization
GO Term: Positive Regulation Of Female Receptivity -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Growth -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Positive Regulation Of Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Muscle Contraction -> Biodomain: Muscle System, Signaling, Cardiovascular, Vasculature, Structural Stabilization
GO Term: Positive Regulation Of Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Positive Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phosphate Metabolic Process -> Biodomain: Tau Homeostasis, APP Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Autophagy, Epigenetic, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Proteostasis
GO Term: Negative Regulation Of Translational Initiation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Negative Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Negative Regulation Of Growth Rate -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Striated Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Carbon Catabolite Regulation Of Transcription -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Embryonic Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Signal Transduction, Cell Cycle, Inflammation, Epigenetic
GO Term: Negative Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Regulation Of T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Transcription By Glucose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Transcription By Glucose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Phospholipid:Diacylglycerol Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Inositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Adp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Proteostasis, Epigenetic
GO Term: Adp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Amp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ctp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Gmp Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Gmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Gtp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Imp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Itp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Itp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, DNA Repair
GO Term: Ump Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Utp Metabolic Process -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Cell Cycle
GO Term: Utp Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Autophagy, Endolysosome
GO Term: Dgmp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Dgmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Dadp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Camp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Damp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Datp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Datp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dgdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Cgmp Metabolic Process -> Biodomain: Vasculature, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cgmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Dgtp Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Dtmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
GO Term: Dttp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Dump Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dutp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Adenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Adenine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Adenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Adenosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Deoxycytidine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Guanine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hypoxanthine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, DNA Repair, RNA Spliceosome
GO Term: Hypoxanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Inosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Immune Response, Synapse
GO Term: Thymidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Thymidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Uridine Metabolic Process -> Biodomain: RNA Spliceosome, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Myelination
GO Term: Xanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Deoxyribonucleoside Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Deoxyribonucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine Ribonucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Tetrahydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Alcohol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glyceraldehyde-3-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Myelination
GO Term: Glycerol-3-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Process, Oxidative Stress, Autophagy
GO Term: Aldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Spermidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nor-Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Spermine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Nitric Oxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Indolalkylamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Aflatoxin Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism
GO Term: Aflatoxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Coumarin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Stilbene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Formaldehyde Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Formaldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Phosphocreatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Gluconokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Immune Response
GO Term: Negative Regulation Of Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Pathway Regulation, Energy Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Vasculature
GO Term: Negative Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: D-Glucose Import -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Glycerol Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Jnk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Lateral Inhibition -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Cdp-Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Disaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Acetyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Butyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 2-Oxobutyrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gdp-L-Fucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Fructose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Arabinose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Cmp-N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Deoxyribose Phosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ribose Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Carboxylic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Carboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Udp-Glucuronate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Polynucleotide 3'-Phosphatase Activity -> Biodomain: DNA Repair, Nucleic Acid Metabolism, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Atp-Dependent Polydeoxyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Urate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Apoptosis
GO Term: D-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Signal Transduction, Cell Proliferation, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Organophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Creatinine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Dihydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Hexadecanal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Short-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Platelet Activating Factor Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Phosphatidic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycerophospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Glycosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Structural Stabilization
