Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Epigenetic
GO Term: Female Meiosis Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair
GO Term: Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Mitotic Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Mitotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Mitotic Nuclear Membrane Reassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Traversing Start Control Point Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Metaphase/Anaphase Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitotic G2 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Nuclear Migration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Male Meiosis Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endomitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Homologous Chromosome Pairing At Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Synaptonemal Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, DNA Repair, Proteostasis
GO Term: Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Synapse
GO Term: Male Meiotic Nuclear Division -> Biodomain: Cell Cycle, Meiosis, Nuclear Division, DNA Repair, Epigenetic
GO Term: Male Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Female Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Female Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Female Meiosis Ii -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Myelination
GO Term: Neuron Cell-Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Calcium-Independent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Cell Adhesion -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Synapse, Structural Stabilization
GO Term: Enzyme-Linked Receptor Protein Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Receptor Guanylyl Cyclase Signaling Pathway -> Biodomain: Vasculature, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Epigenetic, Autophagy
GO Term: Signal Complex Assembly -> Biodomain: Signal Transduction, Intracellular Signaling, Protein Complex Assembly, Cell Communication, Regulation of Biological Process
GO Term: Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Epidermal Growth Factor Catabolic Process -> Biodomain: Proteostasis, Autophagy, Signal Transduction, Growth Factor Signaling, Endolysosome
GO Term: Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Complex Assembly -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Cell Surface Receptor Protein Tyrosine Phosphatase Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Communication, Cell Surface Receptor Signaling, Molecular Signaling, Regulation of Cellular Process
GO Term: G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Epigenetic, Cell Cycle
GO Term: Activation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Signaling, GPCR Pathways, Neurotransmission, Synapse, Second Messenger Systems
GO Term: Adenylate Cyclase-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Cell Cycle, Vasculature, Epigenetic
GO Term: Negative Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Autophagy, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Signaling Pathway Coupled To Cgmp Nucleotide Second Messenger -> Biodomain: Vasculature, Synapse, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phospholipase C-Activating G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Phospholipase C-Activating G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Endolysosome
GO Term: Phospholipase C-Activating Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Immune Response, Autophagy
GO Term: Serotonin Receptor Signaling Pathway -> Biodomain: Synapse, Receptor Signaling, Neuronal Signaling, Neurotransmission, Signal Transduction
GO Term: G Protein-Coupled Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: G Protein-Coupled Acetylcholine Receptor Signaling Pathway -> Biodomain: Synapse, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Gamma-Aminobutyric Acid Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: G Protein-Coupled Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Cell Cycle, Endolysosome
GO Term: Tachykinin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Neuropeptide Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Notch Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Structural Stabilization
GO Term: Notch Receptor Processing -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Transcription Of Notch Receptor Target -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Structural Stabilization, Apoptosis
GO Term: Smoothened Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Patched Ligand Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Osmosensory Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Activation Of Nf-Kappab-Inducing Kinase Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: I-Kappab Phosphorylation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Jnk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Jun Phosphorylation -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Cell Surface Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Small Gtpase-Mediated Signal Transduction -> Biodomain: Signal Transduction, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Autophagy
GO Term: Cell-Cell Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Vesicle Trafficking, Calcium Signaling
GO Term: Neuron-Neuron Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Neuromuscular Junction, Neurotransmission, Synaptic Signaling, Synaptic Vesicle Trafficking
GO Term: Multicellular Organism Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Synapse, Epigenetic
GO Term: Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Germ Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Spermatogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Spermatogonial Cell Division -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Spermatid Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Sperm Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Spermatid Nucleus Differentiation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Spermatid Nucleus Elongation -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Sperm Individualization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Female Gamete Generation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Vitellogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Metal Binding and Homeostasis
GO Term: Oocyte Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Insemination -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response, Autophagy
GO Term: Sperm Displacement -> Biodomain: Structural Stabilization, Autophagy, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Peptide Pheromone Maturation -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Lipid Metabolism
GO Term: Single Fertilization -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Binding Of Sperm To Zona Pellucida -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Acrosome Reaction -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Penetration Of Zona Pellucida -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Fusion Of Sperm To Egg Plasma Membrane Involved In Single Fertilization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Egg Activation -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Pronuclear Fusion -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Zygotic Specification Of Dorsal/Ventral Axis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Zygotic Determination Of Anterior/Posterior Axis, Embryo -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Thorax And Anterior Abdomen Determination -> Biodomain: Developmental Biology, Genetics, Cell Differentiation, Regulation of Gene Expression, Embryonic Development
GO Term: Determination Of Left/Right Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Ventral Midline Determination -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Segment Specification -> Biodomain: Developmental, Morphogenesis, Differentiation, Pattern Formation, Anatomical Structure Morphogenesis
GO Term: Compartment Pattern Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Anterior Compartment Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Posterior Compartment Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Pattern Specification Process -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, DNA Repair
GO Term: Ectoderm Development -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Proteostasis
GO Term: Neuroblast Fate Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Glial Cell Fate Determination -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Neuroblast Proliferation -> Biodomain: Cell Cycle, Synapse, Epigenetic, Structural Stabilization, Myelination
GO Term: Negative Regulation Of Neuroblast Proliferation -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Axon Target Recognition -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Axonal Fasciculation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Central Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Apoptosis
GO Term: Ventral Midline Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Epigenetic
GO Term: Brain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Peripheral Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Sensory Organ Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Salivary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Foregut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Hindgut Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Endoderm Development -> Biodomain: Organ Morphogenesis, Cell Differentiation, Tissue Development, Epigenetic, Lipid Metabolism
GO Term: Endodermal Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Immune Response, RNA Spliceosome, Lipid Metabolism
GO Term: Midgut Development -> Biodomain: Cell Cycle, Vasculature, Immune Response, Epigenetic, Autophagy
GO Term: Visceral Mesoderm-Endoderm Interaction Involved In Midgut Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Posterior Midgut Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Mesoderm Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Ectoderm And Mesoderm Interaction -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Mesodermal Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Vasculature, Structural Stabilization
GO Term: Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Gonadal Mesoderm Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Heart Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Mesoderm Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Adult Heart Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Muscle Organ Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Myoblast Fate Determination -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Skeletal Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Myoblast Fusion -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Muscle Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Visceral Muscle Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Synapse
GO Term: Somatic Muscle Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Neuromuscular Junction Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Establishment Of Synaptic Specificity At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Sex Determination -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Primary Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Structural Stabilization
GO Term: Sex Differentiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Sex-Chromosome Dosage Compensation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Female Pregnancy -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Embryo Implantation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Parturition -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Lipid Metabolism
GO Term: Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Respiratory Gaseous Exchange By Respiratory System -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Digestion -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Body Fluid Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Lactation -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Blood Coagulation, Intrinsic Pathway -> Biodomain: Proteostasis, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Blood Coagulation, Extrinsic Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Hemostasis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Visual Perception -> Biodomain: Synapse, Photoreceptor Activity, Sensory Processing, Neurotransmission, Myelination
GO Term: Phototransduction -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phototransduction, Visible Light -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Phototransduction, Uv -> Biodomain: DNA Repair, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Sensory Perception Of Sound -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Sensory Perception Of Smell -> Biodomain: Synapse, Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Learning Or Memory -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
