Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein Mannosylation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Protein O-Linked Mannosylation -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Endocrine System Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Exocrine System Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Ethanol Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mirna-Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Mirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Pre-Mirna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Segmentation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Central Nervous System Segmentation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Brain Segmentation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Synapse
GO Term: Tube Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 2-Kinase Activity -> Biodomain: Lipid Metabolism, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Autophagy, Proteostasis
GO Term: Hair Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Epigenetic
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metabolism, Autophagy, Proteostasis
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inosine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Hypoxanthine Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Heme Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Histone Locus Body -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Thymine Transport -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Chondroitin Sulfate Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis, Myelination
GO Term: Zymogen Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Structural Stabilization
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Apoptosis, Proteostasis
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Gluconate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Ion Homeostasis, Membrane Trafficking and Transport, Proteostasis, Oxidative Stress
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Vesicle Cargo Loading -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vitamin Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Endolysosome
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Gastric Emptying -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Snare Complex Disassembly -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Camp Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, DNA Repair
GO Term: Carnosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Carnosine Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mh1 Domain Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, RNA Spliceosome, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Pr-Dub Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Proline Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Synapse
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Epigenetic, RNA Spliceosome
GO Term: Intracellular Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Kidney Size -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Vasculature
GO Term: Regulation Of Pronephros Size -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Metanephros Size -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Immune Response
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Azurophil Granule Membrane -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Azurophil Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Proteostasis, Endolysosome
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Epigenetic
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Signaling Adaptor Activity -> Biodomain: Proteostasis, Immune Response, Synapse, Apoptosis, Structural Stabilization
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Proteostasis, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Ganglioside Binding -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Methylthiotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Trna Methylthiolation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Mitochondrial Metabolism, Vasculature, Apoptosis
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Epigenetic
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, RNA Binding, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Stress Granule Disassembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Renal D-Glucose Absorption -> Biodomain: Proteostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Response To Stilbenoid -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Exploration Behavior -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Immune Response, Proteostasis
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: L-Dopa Receptor Activity -> Biodomain: Synapse, Signal Transduction, Cellular Processes, Molecular Functions, Neurotransmission
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Vasculature
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Mon1-Ccz1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, APP Metabolism
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Endolysosome, Vasculature, Apoptosis, Proteostasis
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
