Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Muscular Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Endothelium Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Cardiac Conduction System Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Sinoatrial Node Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Purkinje Myocyte Development -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Bundle Of His Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Cardiovascular, Structural Stabilization, Developmental Processes, Cardiovascular System
GO Term: Heart Valve Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Atrioventricular Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitral Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Endolysosome
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Mitral Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Atrioventricular Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Tricuspid Valve Formation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Endocardial Cushion Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Ventricle Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Vasculature
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Cardiac Chamber Ballooning -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardioblast Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Proteostasis, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Cell Motility, Developmental Biology, Cardiovascular, Connective Tissue
GO Term: Endocardial Cushion Fusion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Cardiac Septum Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Ventricular Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Atrial Septum Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Septum Primum Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Septum Secundum Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Cell Differentiation, Endocrine, Metabolism, Digestive System, Developmental Biology
GO Term: Pancreatic A Cell Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Keratinocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Corneocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Endolysosome
GO Term: Metanephros Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Cilium Movement -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Pericardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Cell Adhesion and Migration, Structural Stabilization, Developmental Biology, Cell Cycle
GO Term: Pulmonary Myocardium Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Brainstem Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Axis Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Neural Retina Development -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Epigenetic
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Synapse
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Bone Development and Maintenance, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Molecular Function -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Nucleic Acid Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Bent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Immune Response, Cell Cycle, Apoptosis
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Satellite Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Telomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Double-Stranded Rna Binding -> Biodomain: Immune Response, RNA Spliceosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: Immune Response, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Structural Stabilization, Autophagy
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Translation Elongation Factor Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Myelination, Mitochondrial Metabolism
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Apoptosis
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Microtubule Motor Activity -> Biodomain: Cell Cycle, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Antigen Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Catalytic Activity -> Biodomain: Proteostasis, Lipid Metabolism, DNA Repair, Immune Response, RNA Spliceosome
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Immune Response
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Post-translational Modification, Glycobiology, Protein Folding and Quality Control, Enzyme Activity
GO Term: Beta-N-Acetylglucosaminylglycopeptide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Glycosylation, Post-Translational Modification, Glycan Metabolism, Protein Modification, Carbohydrate Metabolism
