Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Melatonin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Immune Response
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Vasculature
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Glycosaminoglycan Metabolism, Sulfation, Carbohydrate Biosynthetic Process, Extracellular Matrix Organization, Structural Stabilization
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Vasculature
GO Term: Hyaluronan Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Cell Cycle
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Immune Response, Vasculature
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Autophagy
GO Term: Platelet Formation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Cell Cycle, Proteostasis
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Proteostasis, Apoptosis
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Vasculature
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Immune Response
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Male Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Structural Stabilization
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Muscle, Development, Proteostasis, Cell Motility
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Signal Transduction, Vasculature, Protein Activity Regulation, Synapse, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis, Vasculature, Lipid Metabolism, Autophagy, Immune Response
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, DNA Repair, Autophagy, Proteostasis, Oxidative Stress
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Apoptosis, Proteostasis
GO Term: Lim Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Lrr Domain Binding -> Biodomain: Structural Stabilization, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Immune Response
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Synapse
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Vasculature, Apoptosis
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Immune Response
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Melanocyte Differentiation -> Biodomain: Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Stabilization Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Respiratory Tube Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Proteostasis
GO Term: Adrenal Gland Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Lipid Metabolism
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Proteostasis, Synapse, Phosphorylation Signaling, Apoptosis, Immune Response
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Proteostasis, Lipid Metabolism
GO Term: Lactose Binding -> Biodomain: Carbohydrate Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Defecation -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Lipid Metabolism, Tau Homeostasis
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Myelination, Structural Stabilization
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Epigenetic
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Hemoglobin Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Vasculature, Autophagy
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Tau Homeostasis
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Bmp Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Vasculature, Structural Stabilization
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Cell Cycle, Apoptosis
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Adult Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Male Genitalia Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Female Genitalia Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Vasculature
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Camp Binding -> Biodomain: Synapse, Cell Cycle, Lipid Metabolism, Immune Response, Vasculature
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Pml Body Organization -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Amino Acid Metabolism, Cofactor and Vitamin Metabolism, Biosynthetic Pathways, Epigenetic, Mitochondrial Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
