Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Transport From Ciliary Membrane To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Androst-4-Ene-3,17-Dione Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Negative Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Lactate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Okazaki Fragment Processing Involved In Mitotic Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Unknown, Oxidative Stress
GO Term: Mitotic Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Lactation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Lactation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To 11-Deoxycorticosterone -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism, Unknown
GO Term: Phytanic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Vasculature, Immune Response
GO Term: Calcium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Single Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Regulation Of Blood Circulation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Blood Circulation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Negative Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: Positive Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Synapse
GO Term: Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Establishment Of Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy, Immune Response
GO Term: Cellular Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Epigenetic, Apoptosis
GO Term: Protein Localization To Photoreceptor Outer Segment -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Extracellular Exosome Assembly -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Extracellular Exosome Assembly -> Biodomain: Proteostasis, Autophagy, Immune Response, Endolysosome, Synapse
GO Term: Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Extracellular Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Positive Regulation Of Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cornified Envelope Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Cellular Response To L-Arginine -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Endolysosome, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Gap Junction Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Unknown
GO Term: Negative Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Cell Cycle
GO Term: Positive Regulation Of Gap Junction Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cytochrome Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytochrome C Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Localization To Cytoplasmic Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, RNA Spliceosome, Autophagy
GO Term: Positive Regulation Of Calcium-Dependent Atpase Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Transdifferentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Protein Localization To Photoreceptor Connecting Cilium -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Gastrin-Induced Gastric Acid Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Mitotic Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Unknown
GO Term: Positive Regulation Of Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Tarsal Gland Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Epigenetic, Cell Cycle
GO Term: Substantia Propria Of Cornea Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Unknown
GO Term: Enterocyte Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Unknown
GO Term: Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Uterine Gland Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Cell Cycle
GO Term: Spermine Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Spermidine Transmembrane Transport -> Biodomain: Autophagy, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Cysteine Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Asparagine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Regulation Of Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Guanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of I-Kappab Phosphorylation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Positive Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Plasma Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Positive Regulation Of Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Cortical Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Unknown
GO Term: Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Unknown
GO Term: Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Cell Cycle
GO Term: Negative Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Oxidative Stress, Structural Stabilization, Unknown
GO Term: Sweet Taste Receptor Complex -> Biodomain: Unknown, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Beta-Galactosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein Localization To Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Cardiac Conduction -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: L-Valine Transmembrane Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Guanine Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Endolysosome, Lipid Metabolism
GO Term: Uracil Transmembrane Transport -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Monoatomic Anion Transport -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Autophagy, Apoptosis, Immune Response
GO Term: L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: L-Glutamine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Immune Response, Endolysosome
GO Term: Glycine Import Across Plasma Membrane -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: L-Isoleucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Unknown
GO Term: L-Histidine Import Across Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: L-Asparagine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Unknown
GO Term: L-Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Collecting Lymphatic Vessel Constriction -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Myelination, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Telomere Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Organic Acid Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: L-Arginine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Magnesium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Cellular Response To Arsenite(3-) -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Arsenite Ion -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Positive Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendrite Extension -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Positive Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 20 Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Regulation Of Plasma Membrane Raft Polarization -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Receptor Clustering -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Positive Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Protein Processing In Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Estradiol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Bisphenol A -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Immune Response, Epigenetic
GO Term: Cellular Response To Bisphenol A -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Epigenetic, Immune Response
GO Term: Primary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Epigenetic, Proteostasis, Apoptosis, DNA Repair
GO Term: Response To Acrylamide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Regulation Of Torc2 Signaling -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Cell Cycle
