Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Response To Transition Metal Nanoparticle -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Response To Gold Nanoparticle -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii C-Terminal Domain Phosphoserine Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor-Ligand Complex -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Autophagy
GO Term: Anti-Mullerian Hormone Receptor Activity -> Biodomain: Developmental Biology, Hormone Signaling, Reproductive System, Cell Growth and Proliferation, Signal Transduction
GO Term: Preribosome Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Rna 5'-Gamma-Phosphate Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Rna Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Renal Amino Acid Absorption -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Autophagy, Proteostasis
GO Term: Bub1-Bub3 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Cellular Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Atg1/Ulk1 Kinase Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Collagen Type Xxvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Endolysosome
GO Term: Ire1 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Gap Junction-Mediated Intercellular Transport -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Glucose Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Terminal Web -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Butanol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Myelination, Endolysosome
GO Term: K48-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Ubiquitin-Specific Protease Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Hyaloid Vascular Plexus Regression -> Biodomain: Vasculature, Apoptosis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Mitotic Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Protein K33-Linked Ubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Dna Repair Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: 3M Complex -> Biodomain: Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
GO Term: Mitochondrial Ribosomal Large Subunit Rrna Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Embryonic Lung Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Embryonic Liver Development -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Embryonic Brain Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nad+-Protein Mono-Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cgrp Receptor Complex -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Calcitonin Gene-Related Peptide Binding -> Biodomain: Vasculature, Synapse, Immune Response, Structural Stabilization, Proteostasis
GO Term: Calcitonin Gene-Related Peptide Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Adrenomedullin Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Adrenomedullin Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Replication-Born Double-Strand Break Repair Via Sister Chromatid Exchange -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Cellular Response To Brain-Derived Neurotrophic Factor Stimulus -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Insulin-Like Growth Factor Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Glyoxalase (Glycolic Acid-Forming) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Rzz Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Ryanodine Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitotic Recombination-Dependent Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Stereocilia Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Mirna Transport -> Biodomain: Endolysosome, Immune Response, Vasculature, Synapse, Lipid Metabolism
GO Term: Peroxisomal Importomer Complex -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Extracellular Matrix Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Prirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Sirna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Upper Tip-Link Density -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: U6 2'-O-Snrna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Map Kinase Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Nitrosative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Peptidyl-Threonine Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: F-Box Domain Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: U1 Snrnp Binding -> Biodomain: RNA Spliceosome, RNA Processing, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: U2 Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Exon-Exon Junction Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Linear Polyubiquitin Binding -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Parkin-Fbxw7-Cul1 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: L-Type Voltage-Gated Calcium Channel Complex -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Mitochondrion-Endoplasmic Reticulum Membrane Tethering -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Transferrin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Leptin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis
GO Term: Omegasome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Protein Autosumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Mtrec Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Ultrasound -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Mrna Pseudouridine Synthesis -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Mitotic Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Exon-Exon Junction Subcomplex Mago-Y14 -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Dense Core Granule Maturation -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Vasculature
GO Term: Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mitotic Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Ckm Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Cry-Per Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Mitochondrial Metabolism
GO Term: Clock-Bmal Transcription Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Single-Stranded 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Pyrimidine Nucleotide Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Bone Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Glycosylphosphatidylinositol-Mannosyltransferase I Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Phospholipid-Translocating Atpase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Dom34-Hbs1 Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Oxidative Stress
GO Term: Neuron Projection Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Fructose Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Manganese Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mitochondrial S-Adenosyl-L-Methionine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Mitochondrial Atp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Mitochondrial Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, DNA Repair, Epigenetic
GO Term: Mitochondrial Alpha-Ketoglutarate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hsp90-Cdc37 Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: I(Kach) Inward Rectifier Potassium Channel Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Udp-N-Acetylglucosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Gdp-Mannose Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Tert-Rmrp Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Potassium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Vasculature
GO Term: Mitochondrial L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Perinuclear Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Phospholipase D Activator Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Cardiac Troponin Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Atf4-Creb1 Transcription Factor Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Atf1-Atf4 Transcription Factor Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein K69-Linked Ufmylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Mast Cell Secretagogue Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Aip1-Ire1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: 3' Overhang Single-Stranded Dna Endodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Dark Adaptation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Ire1-Traf2-Ask1 Complex -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Glutamate-Cysteine Ligase Regulator Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Cytoplasmic Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Chop-Atf4 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Anpr-A Receptor Complex -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Chop-Atf3 Complex -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Mitochondrial Outer Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mitochondrial Inner Membrane Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Phospholamban Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ire1-Rack1-Pp2A Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Proximal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Iron Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Prolactin -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: C/Ebp Complex -> Biodomain: Immune Response, Inflammation, Transcription Factor, Proteostasis, Vasculature
GO Term: Sebum Secreting Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Calprotectin Complex -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: S100A8 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: S100A9 Complex -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Nkx-2.5 Complex -> Biodomain: Epigenetic, Immune Response, Vasculature, Cell Cycle, Structural Stabilization
GO Term: Anxa2-P11 Complex -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Pcsk9-Ldlr Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vesicular Trafficking
GO Term: Pcsk9-Anxa2 Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Golgi Cis Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Golgi Medial Cisterna Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Golgi Trans Cisterna Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Response To Melanocyte-Stimulating Hormone -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Csf1-Csf1R Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Ush2 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Protein Depalmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Nucleolar Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cholangiocyte Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Mad1 Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Conditioned Place Preference -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Survivin Complex -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Axonemal Central Apparatus -> Biodomain: Cytoskeleton, Structural Stabilization, Cilium Assembly, Microtubule Organization, Organelle Organization
GO Term: Axonemal Central Pair Projection -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Galectin Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, APP Metabolism
GO Term: Titin-Telethonin Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Granulosa Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Microvesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Protein Sialylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Structural Stabilization
GO Term: Earp Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Cellular Detoxification -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis
GO Term: Microtubule End -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Apoptosis
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Epigenetic
GO Term: Growth Cone Lamellipodium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Arrestin Family Protein Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Myofibroblast Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Proximal Neuron Projection -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Response To Angiotensin -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Protein Localization To Cell Periphery -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Synapse
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Immune Response
GO Term: Cellular Response To Dsdna -> Biodomain: Immune Response, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Gli-Sufu Complex -> Biodomain: Signaling, Transcription Regulation, Cell Differentiation, Protein Complex Assembly, Development
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dorsal Root Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Basolateral Part Of Cell -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, APP Metabolism, Oxidative Stress
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
