Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Structural Stabilization
GO Term: Translation Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Immune Response
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Synapse,Metal Binding and Homeostasis,Proteostasis,Endolysosome,Structural Stabilization
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Synapse
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, DNA Repair, Synapse
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Epigenetic
GO Term: Ammonium Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Structural Stabilization
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Synapse
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Apoptosis
GO Term: Visual Learning -> Biodomain: Synapse, Cognition, Behavior, Learning or Memory, Nervous System Process
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Cell Cycle, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Synapse, Epigenetic
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Synapse
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Male Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Female Gonad Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Myelination, Mitochondrial Metabolism, Autophagy
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Cell Cycle
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Synapse
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Epigenetic
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Apoptosis
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Synapse, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Synapse, Cell Cycle
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Synapse, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Epigenetic
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Hexose Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, Mitochondrial Metabolism
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Synapse, Myelination, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Methionine Synthase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Autophagy, Epigenetic
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Agmatinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Arginine Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Beta-Lactamase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Choline Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Datp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Dctp Deaminase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Synapse
GO Term: Glutamate Racemase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glycerate Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Structural Stabilization
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphopentomutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Ribonuclease E Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Selenocysteine Lyase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Cell Cycle
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Thymidine Phosphorylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Synapse, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Macromolecule Catabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Amino Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glycoprotein Metabolic Process -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Xanthine Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Synapse
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
