Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 6000 to 6499
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Motility, Myelination
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Synapse
GO Term: Extracellular Matrix Organization -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, APP Metabolism
GO Term: Collagen Fibril Organization -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Lipid Metabolism
GO Term: Hyaluronan Metabolic Process -> Biodomain: Proteostasis, Immune Response, Endolysosome, Synapse, Lipid Metabolism
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Synapse
GO Term: Hyaluronan Catabolic Process -> Biodomain: Proteostasis, Immune Response, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Immune Response
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Erythrocyte Differentiation -> Biodomain: Immune Response, Vasculature, Homeostatic Process, Oxidative Stress, Apoptosis
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Vasculature, APP Metabolism, Proteostasis, Cell Cycle
GO Term: Platelet Formation -> Biodomain: APP Metabolism, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Vasculature
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Vasculature, Apoptosis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Male Sex Determination -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Polysaccharide Binding -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Growth Hormone Secretion -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Immune Response
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, APP Metabolism, Myelination, Synapse, Proteostasis
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Chromosome Condensation -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Lim Domain Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis, Synapse
GO Term: Lrr Domain Binding -> Biodomain: Immune Response, Proteostasis, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Clathrin Binding -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Immune Response
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Ossification -> Biodomain: Immune Response, Metal Binding and Homeostasis, Apoptosis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Ossification -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis, Vasculature
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Synapse, Neuroprotection
GO Term: Dynein Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, APP Metabolism, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Protein Kinase Activator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, APP Metabolism
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, APP Metabolism, Immune Response, Endolysosome, Vasculature
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Deoxynucleotide Transport -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Heparanase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Synapse
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Immune Response
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: APP Metabolism, Immune Response, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: T-Tubule -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Cell Cycle, Proteostasis
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Melanocyte Differentiation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Autophagy
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Immune Response, Synapse
GO Term: Stabilization Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Vasculature
GO Term: Lung Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Adrenal Gland Development -> Biodomain: Endolysosome, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Immune Response, Tau Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Structural Stabilization
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Synapse, Metal Binding and Homeostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Extracellular Matrix
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Tau Homeostasis, Synapse, Apoptosis, Immune Response, Proteostasis
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Synapse, Oxidative Stress
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fructosamine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fructoselysine Metabolic Process -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Lactose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Defecation -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Sirna Processing -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Kynureninase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sleep -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Peristalsis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Oxidative Stress
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Actin Cap -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Trna Methylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Maturation Of Ssu-Rrna -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Hemoglobin Binding -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Midbody -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Bone Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Endolysosome
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Bmp Signaling Pathway -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Synapse, Endolysosome
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Synapse, Endolysosome
GO Term: Snorna Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Axon Extension -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: APP Metabolism, Oxidative Stress, Immune Response, Tau Homeostasis, Lipid Metabolism
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: APP Metabolism, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Autophagy
GO Term: Adult Behavior -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Male Genitalia Development -> Biodomain: Cell Cycle, Endolysosome, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Female Genitalia Development -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Apoptosis
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Endolysosome
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, APP Metabolism, Synapse, Proteostasis, Tau Homeostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Neurotransmitter Signaling, Immune Response, Cognitive Decline
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Camp Binding -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Cgmp Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Collagen Catabolic Process -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Pml Body Organization -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Epigenetic, Cell Cycle
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Endolysosome, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Autophagy, Apoptosis
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Synapse, DNA Repair
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis, Epigenetic
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, APP Metabolism
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
