Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Pml Body -> Biodomain: Apoptosis, DNA Repair, Immune Response, Proteostasis, Epigenetic
GO Term: Nuclear Speck -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Growth Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Ch-Oh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 4-Oxoproline Reductase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Hydroxypyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Heme Protein As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Quinone Or Similar Compound As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad(P) As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Peroxide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: 2-Oxoglutarate-Dependent Dioxygenase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair, Oxidative Stress
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Nad(P)H As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Flavonoid 3'-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Pteridine As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Ascorbate As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Metal Ions -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, APP Metabolism
GO Term: Transferase Activity, Transferring One-Carbon Groups -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Carboxyl- Or Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Transketolase Or Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Aminoacyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Immune Response, Endolysosome
GO Term: Hexosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pentosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Lipid Metabolism, Cell Cycle, RNA Spliceosome
GO Term: Transferase Activity, Transferring Alkyl Or Aryl (Other Than Methyl) Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Spermine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Transferase Activity, Transferring Phosphorus-Containing Groups -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Phosphotransferase Activity, Alcohol Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Phosphotransferase Activity, Phosphate Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Nucleotidyltransferase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Phosphotransferase Activity, For Other Substituted Phosphate Groups -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 3-Mercaptopyruvate Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Hydrolase Activity, Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Thiolester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism, Tau Homeostasis
GO Term: Triphosphoric Monoester Hydrolase Activity -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Acting On Glycosyl Bonds -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Ether Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Cysteine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Metal Binding and Homeostasis, Synapse
GO Term: Carbon-Carbon Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carboxy-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Aldehyde-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Oxo-Acid-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hydro-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Carbon-Sulfur Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 1-Aminocyclopropane-1-Carboxylate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Phosphorus-Oxygen Lyase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Racemase And Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives -> Biodomain: Carbohydrate Metabolism, Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Intramolecular Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Intramolecular Oxidoreductase Activity, Transposing C=C Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intramolecular Transferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intramolecular Phosphotransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Ligase Activity -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Ligase Activity, Forming Carbon-Sulfur Bonds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Metal Binding and Homeostasis
GO Term: Acid-Thiol Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ligase Activity, Forming Carbon-Nitrogen Bonds -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Acid-Amino Acid Ligase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Ligase Activity, Forming Carbon-Carbon Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Ligase Activity, Forming Phosphoric Ester Bonds -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Atp Hydrolysis Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Dna Endonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Endonuclease Activity, Producing 3'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Rna Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Rna Endonuclease Activity Producing 3'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Immune Response, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Rna Exonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Acetylcholine Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Follicle-Stimulating Hormone Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Follicle-Stimulating Hormone Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Vasculature, Epigenetic
GO Term: Gaba Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Pyroglutamyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, APP Metabolism, Autophagy
GO Term: Nuclear Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Cell Cycle, DNA Repair
GO Term: Protein Sumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Protein Desumoylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Desumoylase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Extracellularly Glycine-Gated Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Extracellularly Glycine-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Glycine-Gated Chloride Channel Complex -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Galactoside Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Short-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Kinesin I Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Kinesin Ii Complex -> Biodomain: Myelination, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Natriuretic Peptide Receptor Activity -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Insulin-Like Growth Factor Binding Protein Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Alpha-2 Macroglobulin Receptor Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, APP Metabolism
GO Term: Flavin-Dependent Sulfhydryl Oxidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Thiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Poly(A)+ Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Lipoate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Alpha-Sialidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Antibiotic Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Activin Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Cytochrome Complex Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: 3'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Map Kinase Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Myosin Phosphatase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Myosin Phosphatase Regulator Activity -> Biodomain: Structural Stabilization, Muscle System, Cytoskeleton Organization, Proteostasis, Cell Motility
GO Term: Myosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Myosin I Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Tbp-Class Protein Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: N-Acylsphingosine Amidohydrolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Glycosylceramidase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Corticotropin-Releasing Hormone Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Peptide Hormone Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Cofactor 2 Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, DNA Repair, Epigenetic, Cell Cycle
GO Term: 6-Phosphogluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Serine Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: 3-Galactosyl-N-Acetylglucosaminide 4-Alpha-L-Fucosyltransferase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: S-Methyl-5-Thioadenosine Phosphorylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Fatty Acid Amide Hydrolase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Single-Strand Selective Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: U6 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Intracellular Cyclic Nucleotide Activated Cation Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Syntaxin-1 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Purine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Oxidative Phosphorylation Uncoupler Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
