Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Brown Fat Cell Proliferation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic
GO Term: White Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Actin Polymerization-Dependent Cell Motility -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Hepatocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Beta-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair
GO Term: Cellular Heat Acclimation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Cell Signaling, Cell Growth, Kinase Activity, Apoptosis
GO Term: Negative Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Erk5 Cascade -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Erk5 Cascade -> Biodomain: Oxidative Stress, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Erk5 Cascade -> Biodomain: Cell Cycle, Oxidative Stress, Immune Response, Vasculature, Epigenetic
GO Term: Endosome To Plasma Membrane Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Synapse
GO Term: Exocytic Vesicle -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Dna Cytosine Deamination -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Harderian Gland Development -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Transcription Export Complex 2 -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Detection Of Lipoteichoic Acid -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Nadp+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nadph Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nad+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadh Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidation-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Carbamoyl Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Co-Smad Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: I-Smad Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: R-Smad Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Epigenetic, Proteostasis
GO Term: Cellular Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Dna-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Nonhomologous End Joining Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Dna Ligase Iii-Xrcc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Shc-Egfr Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Grb2-Egfr Complex -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Endolysosome
GO Term: Integrin Alphaiib-Beta3 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Mad-Max Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Oligodendrocyte Progenitor Proliferation -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Autophagy
GO Term: Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Elongin Complex -> Biodomain: Transcription, RNA Polymerase II, Transcriptional Regulation, Protein Complex Assembly, Epigenetic
GO Term: Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Prolactin Secretion -> Biodomain: Prolactin Secretion, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Thyroid-Stimulating Hormone Secretion -> Biodomain: Endocrine, Hormone Regulation, Secretory Processes, Cell Signaling, Peptide Hormone Activity
GO Term: Saga-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Plus-End Specific Microtubule Depolymerization -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Tubulin-Dependent Atpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Rrna Base Methylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Rrna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process, 3'-5' Exonucleolytic Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Non-Stop Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Detection Of Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Leukocyte Aggregation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Monocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: Neutrophil Aggregation -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis, Endolysosome
GO Term: T Cell Aggregation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Oligosaccharide Binding -> Biodomain: Carbohydrate Metabolism, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: High-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature
GO Term: Death Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Cak-Ercc2 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Ercc4-Ercc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna Threonylcarbamoyladenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Protein Kinase C Signaling -> Biodomain: Immune Response, Synapse, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: K63-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Immune Response, Autophagy, Proteostasis, DNA Repair, Apoptosis
GO Term: Brca1-A Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Brca1-B Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Brca1-C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, DNA Repair, Immune Response, Endolysosome, Autophagy
GO Term: Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Signal Transduction, Immune Response, Autophagy
GO Term: Oleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Linoleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Platinum Ion -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Linoleic Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Pebow Complex -> Biodomain: Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Endoribonuclease Activity, Cleaving Sirna-Paired Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Brisc Complex -> Biodomain: Proteostasis, Endolysosome, DNA Repair, Immune Response, Autophagy
GO Term: Nicotinic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-3-Complexin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Interleukin-1 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Pcna-P21 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein Secretion By Platelet -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Vitamin D Receptor Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Mineral Homeostasis, Lipid Metabolism, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism, Epigenetic
GO Term: Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Guanylyltransferase Activity -> Biodomain: RNA Metabolism, Gene Expression and Regulation, Enzyme Activity, Molecular Function, Nucleotide Binding and Metabolism
GO Term: Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Metallodipeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Cadmium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Risc-Loading Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Endolysosome, Cell Cycle
GO Term: Dna 5-Methylcytosine Dioxygenase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Cell-Cell Adhesion Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Dendrite Self-Avoidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Centromeric Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Histone H3R2 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Histone H2Ar3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Grb2-Sos Complex -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Zymogen Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: (S)-2-(5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido) Succinate Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, DNA Repair
GO Term: Proteasome Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Transepithelial Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Transepithelial Ammonium Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Vitamin D3 Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Vitamin D Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response
GO Term: Protein Modification By Small Protein Removal -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Formin-Nucleated Actin Cable Assembly -> Biodomain: Cytoskeleton, Actin Cytoskeleton, Structural Stabilization, Cell Morphology, Cell Motility
GO Term: Nonfunctional Rrna Decay -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress, Endolysosome
GO Term: Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: High-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sensory Epithelium Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Immune Response, Apoptosis
GO Term: Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Interleukin-2 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Response To Interleukin-4 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Interleukin-15 -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Epigenetic
GO Term: Hypoxanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Hypoxanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Inositol 1,4,5 Trisphosphate Binding -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Glutaminyl-Trnagln Biosynthesis Via Transamidation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome
GO Term: Proteasome Regulatory Particle Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Seminal Clot Liquefaction -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Macropinocytic Cup -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: P-Tefb Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: 5-Hydroxymethyl-Dump N-Hydrolase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Fhf Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Activin Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Type I Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Type Ii Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Bmp Receptor Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mucus Layer -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Inner Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Outer Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Sodium-Dependent Organic Cation Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mismatch Repair Involved In Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isgf3 Complex -> Biodomain: Immune Response, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Cholesterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Bmp Receptor Complex -> Biodomain: Signal Transduction, Development, Apoptosis, Cell Adhesion, Cell Cycle
GO Term: L-Leucine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Cyclic Nucleotide Transport -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Camp Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Cgmp Transport -> Biodomain: Vasculature, Synapse, Oxidative Stress, Endolysosome, Immune Response
GO Term: Ampylase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Protein-Glycine Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein-Glycine Ligase Activity, Initiating -> Biodomain: Proteostasis, Amino Acid Metabolism, Protein Modification Enzymes, Post-Translational Modification (PTM), Enzyme Activity
GO Term: Protein-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Tubulin-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Response To Interleukin-6 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: C2H2 Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Interleukin-23 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
