In a magical forest, a lonely unicorn named Luna discovered a hidden glade filled with twinkling stars. Every night, she danced under the shimmering lights, spreading joy and laughter to all the creatures around her. One evening, as she twirled, she made a wish for friends, and to her delight, a troupe of playful fairies appeared, ready to join her enchanting adventures.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: 2-Oxoglutarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Succinyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Succinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Fumarate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Oxaloacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Malate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, APP Metabolism

Pathway: Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Regulation Of Gluconeogenesis -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy

Pathway: Energy Reserve Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Glycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis

Pathway: Mitochondrial Electron Transport, Nadh To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis

Pathway: Mitochondrial Electron Transport, Succinate To Ubiquinone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis

Pathway: Mitochondrial Electron Transport, Ubiquinol To Cytochrome C -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy

Pathway: Mitochondrial Electron Transport, Cytochrome C To Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy

Pathway: Glycerol-3-Phosphate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Nucleobase-Containing Compound Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Purine Nucleobase Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Purine Nucleobase Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Guanine Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Inosine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Unknown

Pathway: Deoxyinosine Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Purine Nucleoside Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Autophagy, DNA Repair

Pathway: Adenosine Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism

Pathway: Deoxyadenosine Catabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Deoxyguanosine Catabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Purine Nucleotide Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Purine Nucleotide Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Purine Ribonucleoside Salvage -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Amp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Adenine Salvage -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Camp Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Adp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Dadp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, DNA Repair, Autophagy, Lipid Metabolism

Pathway: Datp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis

Pathway: Gmp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Guanine Salvage -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Cgmp Biosynthetic Process -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy

Pathway: Gtp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Dgdp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Imp Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: 'De Novo' Imp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Itp Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Autophagy, RNA Spliceosome

Pathway: Purine Nucleotide Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Amp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Camp Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Gmp Catabolic Process To Guanine -> Biodomain: Unknown, Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Autophagy

Pathway: Dgtp Catabolic Process -> Biodomain: Unknown, Oxidative Stress, DNA Repair, Autophagy, Mitochondrial Metabolism

Pathway: Imp Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Autophagy, RNA Spliceosome

Pathway: Pyrimidine Nucleobase Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: 'De Novo' Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Autophagy, Proteostasis

Pathway: Pyrimidine Nucleobase Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Thymine Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Uracil Catabolic Process -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Pyrimidine Nucleoside Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Autophagy, DNA Repair, Epigenetic

Pathway: Thymidine Catabolic Process -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Unknown

Pathway: Uridine Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, RNA Spliceosome

Pathway: Pyrimidine Nucleotide Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Autophagy, DNA Repair, Epigenetic

Pathway: Pyrimidine Nucleotide Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Autophagy, Proteostasis

Pathway: Ump Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Proteostasis, Apoptosis

Pathway: Udp Biosynthetic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Dump Biosynthetic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis

Pathway: Dudp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis

Pathway: Utp Biosynthetic Process -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair

Pathway: Dtmp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Cell Cycle

Pathway: Dtdp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis

Pathway: Dttp Biosynthetic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Ctp Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Autophagy, DNA Repair, Proteostasis

Pathway: Cmp Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, RNA Spliceosome, Apoptosis, Metal Binding and Homeostasis

Pathway: Dcmp Catabolic Process -> Biodomain: Unknown, RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis

Pathway: Dctp Catabolic Process -> Biodomain: Unknown, DNA Repair, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Ctp Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, Autophagy, RNA Spliceosome, Proteostasis

Pathway: Udp Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Unknown, Metal Binding and Homeostasis

Pathway: Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Autophagy, Cell Cycle, Unknown

Pathway: Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Unknown

Pathway: Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Unknown

Pathway: Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Dna Topological Change -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis

Pathway: Dna Replication, Synthesis Of Primer -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Unknown, Proteostasis

Pathway: Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Unknown

Pathway: Dna Strand Elongation Involved In Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Unknown

Pathway: Leading Strand Elongation -> Biodomain: Cell Cycle, DNA Repair, Unknown, Apoptosis, Proteostasis

Pathway: Lagging Strand Elongation -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Unknown

Pathway: Regulation Of Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Unknown

Pathway: Rna-Templated Dna Biosynthetic Process -> Biodomain: RNA Spliceosome, DNA Repair, Apoptosis, Immune Response, Unknown

Pathway: Dna Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Unknown

Pathway: Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Autophagy, Epigenetic, Cell Cycle, Unknown

Pathway: Base-Excision Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Base-Excision Repair, Ap Site Formation -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Base-Excision Repair, Gap-Filling -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Nucleotide-Excision Repair -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Immune Response

Pathway: Pyrimidine Dimer Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Nucleotide-Excision Repair, Preincision Complex Assembly -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Nucleotide-Excision Repair, Dna Gap Filling -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Mismatch Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Cell Cycle

Pathway: Postreplication Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Unknown

Pathway: Double-Strand Break Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress

Pathway: Dna Modification -> Biodomain: DNA Repair, Epigenetic, Autophagy, Unknown, Proteostasis

Pathway: Dna Alkylation Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Dna Catabolic Process -> Biodomain: DNA Repair, Autophagy, Proteostasis, Apoptosis, Unknown

Pathway: Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response

Pathway: Dna Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Unknown

Pathway: Meiotic Gene Conversion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Unknown, Autophagy

Pathway: Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Unknown

Pathway: Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Autophagy, Cell Cycle, Unknown

Pathway: Chromatin Organization -> Biodomain: Unknown, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Nucleosome Assembly -> Biodomain: Unknown, Epigenetic, DNA Repair, Proteostasis, Autophagy

Pathway: Dna Replication-Dependent Chromatin Assembly -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Nucleosome Disassembly -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Unknown

Pathway: Chromatin Remodeling -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Dna Methylation-Dependent Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Unknown, Autophagy, Proteostasis

Pathway: Dna-Templated Transcription -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Dna-Templated Transcription Initiation -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Dna-Templated Transcription Termination -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Autophagy, Proteostasis

Pathway: Dna-Templated Transcription Elongation -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Regulation Of Dna-Templated Transcription -> Biodomain: Unknown, Epigenetic, Cell Cycle, Proteostasis, DNA Repair

Pathway: Regulation Of Transcription By Rna Polymerase I -> Biodomain: Unknown, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Unknown, Proteostasis, Immune Response, Epigenetic, DNA Repair

Pathway: Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Unknown, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Transcription By Rna Polymerase I -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis

Pathway: Transcription Initiation At Rna Polymerase I Promoter -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Transcription Elongation By Rna Polymerase I -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Termination Of Rna Polymerase I Transcription -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy

Pathway: Rrna Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Transcription By Rna Polymerase Ii -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome

Pathway: Transcription Initiation At Rna Polymerase Ii Promoter -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Transcription Elongation By Rna Polymerase Ii -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis

Pathway: Termination Of Rna Polymerase Ii Transcription -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: 7-Methylguanosine Mrna Capping -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Mrna Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Adenosine To Inosine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Unknown, Proteostasis

Pathway: Transcription By Rna Polymerase Iii -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Autophagy

Pathway: Transcription Initiation At Rna Polymerase Iii Promoter -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Termination Of Rna Polymerase Iii Transcription -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Trna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Transcription Initiation At Mitochondrial Promoter -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Transcription Elongation By Mitochondrial Rna Polymerase -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Termination Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy

Pathway: Rna Processing -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Epigenetic

Pathway: Mrna Processing -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Epigenetic

Pathway: Mrna 3'-End Processing By Stem-Loop Binding And Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Trna Metabolic Process -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Trna Modification -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Rna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Unknown

Pathway: Mrna Catabolic Process -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Rna Localization -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Rna Import Into Nucleus -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle

Pathway: Rna Export From Nucleus -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Mrna Export From Nucleus -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Snrna Export From Nucleus -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair

Pathway: Trna Export From Nucleus -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Translation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, RNA Spliceosome

Pathway: Translational Initiation -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome

Pathway: Translational Elongation -> Biodomain: Proteostasis, Apoptosis, RNA Spliceosome, Immune Response, Unknown

Pathway: Translational Termination -> Biodomain: Unknown, Proteostasis, Apoptosis, RNA Spliceosome, Cell Cycle

Pathway: Regulation Of Translation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Mitochondrial Metabolism

Pathway: Trna Aminoacylation For Protein Translation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle

Pathway: Alanyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, DNA Repair

Pathway: Arginyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Asparaginyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Aspartyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair

Pathway: Cysteinyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic

Pathway: Glutamyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Glutaminyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair

Pathway: Glycyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic

Pathway: Histidyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Isoleucyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle

Pathway: Leucyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair

Pathway: Lysyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Methionyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle

Pathway: Phenylalanyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, Epigenetic

Pathway: Prolyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Cell Cycle, Apoptosis

Pathway: Seryl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, DNA Repair

Pathway: Threonyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, DNA Repair

Pathway: Tryptophanyl-Trna Aminoacylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Tyrosyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Valyl-Trna Aminoacylation -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, DNA Repair

Pathway: Regulation Of Translational Initiation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Regulation Of Translational Elongation -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Epigenetic

Pathway: Regulation Of Translational Termination -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Regulation Of Translational Fidelity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle

Pathway: Translational Frameshifting -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic

Pathway: Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: 'De Novo' Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Unknown

Pathway: Steroid Hormone Receptor Complex Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome

Pathway: Signal Peptide Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Unknown

Pathway: Protein Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle, Autophagy

Pathway: Negative Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Autophagy

Pathway: Protein Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, DNA Repair

Pathway: Protein Acetylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, DNA Repair

Pathway: N-Terminal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Unknown, Oxidative Stress

Pathway: Internal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Unknown

Pathway: Protein Deacetylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, DNA Repair

Pathway: Protein Sulfation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Endolysosome, Metal Binding and Homeostasis

Pathway: Peptidyl-Tyrosine Sulfation -> Biodomain: Unknown, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis

Pathway: Protein Methylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Unknown

Pathway: N-Terminal Protein Amino Acid Methylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Unknown, DNA Repair

Pathway: C-Terminal Protein Methylation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Unknown

Pathway: Protein Demethylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Unknown

Pathway: Protein Glycosylation -> Biodomain: Unknown, Proteostasis, Autophagy, Lipid Metabolism, Immune Response

Pathway: Protein N-Linked Glycosylation -> Biodomain: Unknown, Proteostasis, Autophagy, Lipid Metabolism, Immune Response

Pathway: Dolichol-Linked Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Unknown

Pathway: Dolichyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Unknown

Pathway: N-Glycan Processing -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Immune Response

Pathway: Protein O-Linked Glycosylation -> Biodomain: Proteostasis, Autophagy, Unknown, Lipid Metabolism, Immune Response

Pathway: Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Unknown

