Once upon a time, in a hidden valley, a gentle unicorn named Luna spread her shimmering wings under the moonlight. Each night, she gathered the stars that fell from the sky and returned them to their rightful place, making the world sparkle with magic. One evening, as she shared her glow with a lost little fox, they became friends, and together they filled the valley with laughter and joy.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Glucokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Gluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Glucose-6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Glutamate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis

Pathway: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glutamine Synthetase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glutamate-Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis

Pathway: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis, Apoptosis

Pathway: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Glycerone Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Glycine Hydroxymethyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis

Pathway: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Apoptosis

Pathway: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Apoptosis

Pathway: Gdp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Guanylate Cyclase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Gmp Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Helicase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Cell Cycle

Pathway: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Hexokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Histidine Ammonia-Lyase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis

Pathway: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response

Pathway: Histone Deacetylase Activity -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Immune Response

Pathway: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Hyalurononglucosaminidase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: Hydroxymethylbilane Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Iduronate-2-Sulfatase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis

Pathway: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis

Pathway: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Immune Response

Pathway: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Structural Stabilization

Pathway: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Immune Response

Pathway: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis

Pathway: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Ketohexokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis

Pathway: Lactose Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis

Pathway: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy

Pathway: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis

Pathway: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair, Oxidative Stress

Pathway: Methionine Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis

Pathway: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair

Pathway: Methyltransferase Cap1 Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Mrna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Calcidiol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis

Pathway: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis

Pathway: Dopamine Beta-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response, Lipid Metabolism

Pathway: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Tyrosinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Peptidylglycine Monooxygenase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy

Pathway: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Steroid 21-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis

Pathway: Tryptophan 5-Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism

Pathway: Tyrosine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Nuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, RNA Spliceosome, Proteostasis, Oxidative Stress

Pathway: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Rna Endonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Apoptosis, Immune Response, DNA Repair

Pathway: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Metal Binding and Homeostasis, Endolysosome

Pathway: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: RNA Spliceosome, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Immune Response, Proteostasis

Pathway: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Phosphodiesterase I Activity -> Biodomain: RNA Spliceosome, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Apoptosis, Autophagy, Proteostasis, Oxidative Stress

Pathway: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, DNA Repair, Proteostasis

Pathway: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Epigenetic

Pathway: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair, Proteostasis

Pathway: Dinucleotide Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, DNA Repair

Pathway: Alpha,Alpha-Trehalase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Alpha-Amylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: Alpha-1,4-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis

Pathway: Alpha-Mannosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Immune Response

Pathway: Alpha-L-Fucosidase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Immune Response

Pathway: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis

Pathway: Beta-Galactosidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Immune Response, DNA Repair

Pathway: Beta-Glucuronidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Oxidative Stress, DNA Repair

Pathway: Beta-Mannosidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Structural Stabilization, Immune Response, Mitochondrial Metabolism

Pathway: Chitinase Activity -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Glycoprotein Metabolism, Autophagy, Immune Response

Pathway: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Immune Response

Pathway: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Metal Binding and Homeostasis

Pathway: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Immune Response

Pathway: Oligo-1,6-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Sucrose Alpha-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Oligosaccharyl Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization, Immune Response

Pathway: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Autophagy, Structural Stabilization, Immune Response

Pathway: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism, Immune Response

Pathway: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism

Pathway: Ornithine Carbamoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Ornithine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, DNA Repair

Pathway: Ornithine Aminotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Orotate Phosphoribosyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Lipid Metabolism, RNA Spliceosome, Apoptosis, Metal Binding and Homeostasis, Proteostasis

Pathway: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis

