Once upon a time in a glittering forest, a curious unicorn named Luna discovered a hidden glade filled with glowing flowers. Each night, the flowers whispered secrets of joy and laughter, making Luna's heart sparkle with happiness. With a gentle flick of her tail, she spread the magic of the glade across the land, bringing sweet dreams to all who slept under the stars.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress

Pathway: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Hepatic Immune Response -> Biodomain: Immune Response, Hepatic Immune Response, Apoptosis, Proteostasis, Endolysosome

Pathway: Mucosal Immune Response -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome

Pathway: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Proteostasis

Pathway: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Oxidative Stress

Pathway: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress, Endolysosome

Pathway: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Mitochondrial Metabolism

Pathway: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Proteostasis

Pathway: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Apoptosis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism

Pathway: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, T Cell Mediated Cytotoxicity, Structural Stabilization, Endolysosome

Pathway: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Granuloma Formation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis

Pathway: Immune Complex Clearance -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Apoptosis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism

Pathway: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Autophagy, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammatory Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis

Pathway: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress

Pathway: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization

Pathway: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress

Pathway: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization

Pathway: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Mitochondrial Metabolism

Pathway: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization

Pathway: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization

Pathway: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress

Pathway: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Immune System Development -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome

Pathway: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Autophagy, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism

Pathway: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis

Pathway: Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis

Pathway: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism

Pathway: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Factor Xii Activation -> Biodomain: Immune Response, Apoptosis, Vasculature, Structural Stabilization, Oxidative Stress

Pathway: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Monocyte Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Structural Stabilization

Pathway: Mast Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Serotonin Secretion By Platelet -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism

Pathway: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Thrombocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Mitochondrial Metabolism

Pathway: Basophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Platelet Degranulation -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress, Endolysosome

Pathway: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle

Pathway: Negative Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Positive Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress

Pathway: Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Positive Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, DNA Repair

Pathway: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Structural Stabilization, Cell Cycle

Pathway: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization

Pathway: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine Production, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine Production, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Oxidative Stress

Pathway: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress

Pathway: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy

Pathway: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Structural Stabilization

Pathway: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Myelination, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Myelination, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Peptide Secretion -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse

