Once upon a time, a gentle unicorn named Luna roamed a sparkling meadow filled with flowers that glowed at night. One evening, she discovered a sad little star that had fallen from the sky, and with a twinkle of her horn, she lifted it back into the heavens. From that day on, every night the star would shine brighter, guiding Luna home as they became the best of friends.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis

Pathway: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis

Pathway: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Immune Response, Oxidative Stress, Autophagy, Proteostasis

Pathway: Regulation Of Norepinephrine Secretion -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Regulation Of Serotonin Secretion -> Biodomain: Immune Response, Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Autophagy

Pathway: Positive Regulation Of Serotonin Secretion -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Postsynaptic Density -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Myelination

Pathway: Response To Purine-Containing Compound -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism

Pathway: Response To Amine -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Calcium Homeostasis, Proteostasis, Autophagy

Pathway: Intercalated Disc -> Biodomain: Synapse, Myelination, Structural Stabilization, Cardiomyocyte Function, Immune Response

Pathway: C Zone -> Biodomain: Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Striated Muscle Tissue Development -> Biodomain: Myelination, Muscle Development, Proteostasis, Apoptosis, Immune Response

Pathway: Branchiomeric Skeletal Muscle Development -> Biodomain: Immune Response, Synapse, Myelination, Apoptosis, RNA Spliceosome

Pathway: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Muscle Regeneration, Proteostasis, Myelination, Immune Response

Pathway: Skeletal Muscle Satellite Cell Activation -> Biodomain: Immune Response, Myelination, Proteostasis, Apoptosis, Endolysosome

Pathway: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Apoptosis

Pathway: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Muscle Contraction, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis

Pathway: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Proteostasis, Apoptosis, Muscle Metabolism, Oxidative Stress, Cell Cycle

Pathway: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Immune Response

Pathway: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Immune Response

Pathway: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Immune Response

Pathway: Skeletal Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Muscle Metabolism, Myelination

Pathway: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Mitochondrial Metabolism

Pathway: Positive Regulation Of Muscle Atrophy -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Protein Homeostasis

Pathway: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Mitochondrial Metabolism

Pathway: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism

Pathway: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Myelination

Pathway: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Sarcoplasmic Reticulum, Mitochondrial Metabolism, Proteostasis, Apoptosis, Cell Cycle

Pathway: Terminal Cisterna -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Calcium Homeostasis, Myelination, Proteostasis

Pathway: Terminal Cisterna Lumen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy

Pathway: Smooth Muscle Adaptation -> Biodomain: Vasculature, Smooth Muscle Adaptation, Proteostasis, Oxidative Stress, Autophagy

Pathway: Smooth Muscle Hyperplasia -> Biodomain: Cell Cycle, Immune Response, Vascularity, Proteostasis, Apoptosis

Pathway: Regulation Of Somitogenesis -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis

Pathway: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Calcium Homeostasis

Pathway: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Skeletal Muscle Contraction, Oxidative Stress, Apoptosis, Proteostasis, Synapse

Pathway: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Skeletal Muscle Contraction, Calcium Homeostasis, Proteostasis, Synapse, Immune Response

Pathway: Muscle Cell Migration -> Biodomain: Immune Response, Myelination, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization

Pathway: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Mitochondrial Metabolism, Proteostasis, Myelination, Immune Response, Epigenetic

Pathway: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Muscle Development, Proteostasis, Cell Cycle, Immune Response, Apoptosis

Pathway: Regulation Of Skeletal Muscle Contraction -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Tonic Smooth Muscle Contraction, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Response To Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome

Pathway: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Smooth Muscle Contraction, Cell Cycle, Apoptosis

Pathway: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Smooth Muscle Contraction, Immune Response, Apoptosis

Pathway: Intestine Smooth Muscle Contraction -> Biodomain: Smooth Muscle Contraction, Immune Response, Vasculature, Autophagy, Proteostasis

Pathway: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Autophagy, Immune Response, Oxidative Stress, Proteostasis

Pathway: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Vasculature, Apoptosis, Oxidative Stress, Proteostasis, Synapse

Pathway: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Immune Response, Autophagy

Pathway: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Myelination, Proteostasis, Immune Response, Apoptosis, Oxidative Stress

Pathway: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Myelination, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Muscle Development, Immune Response, Autophagy, Cell Cycle, Proteostasis

Pathway: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Muscle Development, Immune Response, Proteostasis, Cell Cycle, Apoptosis

Pathway: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism

Pathway: Esophagus Smooth Muscle Contraction -> Biodomain: Muscle Contraction, Vascular System, Immune Response, Autophagy, Cell Cycle

Pathway: Response To Muscle Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Cell Cycle

Pathway: Response To Inactivity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Skeletal Muscle Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Myelination

Pathway: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Apoptosis

Pathway: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Skeletal Muscle Contraction, Oxidative Stress, Proteostasis, Apoptosis, Myelination

Pathway: Skeletal Myofibril Assembly -> Biodomain: Skeletal Myofibril Assembly, Myelination, Proteostasis, Apoptosis, Cell Cycle

Pathway: Response To Muscle Inactivity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Autophagy

Pathway: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Proteostasis, Muscle Activity, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Muscle Adaptation, Proteostasis, Oxidative Stress, Apoptosis, Autophagy

Pathway: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Muscle Adaptation, Synapse, Immune Response, Apoptosis, Oxidative Stress

Pathway: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Myelination

Pathway: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Muscle Atrophy -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle

Pathway: Striated Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Mitochondrial Metabolism

Pathway: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Muscle Adaptation, Proteostasis, Immune Response, Autophagy, Cell Cycle

Pathway: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis

Pathway: Muscle Hypertrophy -> Biodomain: Muscle Hypertrophy, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle

Pathway: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Heart Scarring, Immune Response

Pathway: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Myelination, Immune Response, Apoptosis, Proteostasis

Pathway: Myotube Differentiation -> Biodomain: Myelination, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress

Pathway: Myotube Cell Development -> Biodomain: Myelination, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress

Pathway: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Myelination, Immune Response, Proteostasis, Autophagy, Apoptosis

Pathway: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Myelination, Proteostasis, Autophagy, Immune Response, Cell Cycle

Pathway: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Muscle Regeneration, Myelination, Proteostasis, Oxidative Stress, Autophagy

Pathway: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Smooth Muscle Cell Migration, Immune Response, Proteostasis, Apoptosis

Pathway: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization

Pathway: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Immune Response, Mitochondrial Metabolism, Vascular, Proteostasis, Apoptosis

Pathway: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Immune Response

Pathway: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis

Pathway: Glucuronosyltransferase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, Autophagy

Pathway: Glucuronate-2-Sulfatase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Immune Response

Pathway: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Apoptosis, Epigenetic

Pathway: Protein Transport -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis

Pathway: Protein-Disulfide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Metal Binding and Homeostasis

Pathway: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy

Pathway: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Beta3-Adrenergic Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis

Pathway: Gastrin Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Secretin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Mitochondrial Metabolism, Proteostasis

Pathway: Corticotrophin-Releasing Factor Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Thrombin-Activated Receptor Activity -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Amidinotransferase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Glycine Amidinotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy

Pathway: Dna Integration -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Immune Response

Pathway: Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: Proton Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism, DNA Repair

Pathway: Potassium Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy, Metal Binding and Homeostasis

Pathway: Silver Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Endolysosome

Pathway: Sodium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Ion Transport, Mitochondrial Metabolism, Structural Stabilization, Immune Response

Pathway: Calcium Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Calcium Ion Transport, Endolysosome, Apoptosis

Pathway: Cadmium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Cobalt Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis

Pathway: Ferrous Iron Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Lead Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome

Pathway: Magnesium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress

Pathway: Molybdate Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy

Pathway: Nickel Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Autophagy, Immune Response

Pathway: Vanadium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis

Pathway: Organic Cation Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Bicarbonate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Chloride Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Ion Transport, Proteostasis

Pathway: Iodide Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis

Pathway: Nitrate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy

Pathway: Sulfate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Structural Stabilization

Pathway: Thiosulfate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism

Pathway: Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Autophagy

Pathway: Canalicular Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis

Pathway: Bilirubin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy

Pathway: Lactate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lactate Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Mevalonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Protective Stress

Pathway: Oxaloacetate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Prostaglandin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Structural Stabilization

Pathway: Sialic Acid Transmembrane Transporter Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response

Pathway: Citrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Fumarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle

Pathway: Alpha-Ketoglutarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Malate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair

Pathway: Succinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Tricarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Urate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Carbohydrate Transmembrane Transporter Activity -> Biodomain: Metabolic processes, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress

Pathway: Pentose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Hexose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Fucose Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature

Pathway: Alpha-Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, DNA Repair

Pathway: Glucose-6-Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Glucose Homeostasis

Pathway: Glucuronoside Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Immune Response

Pathway: Pyrimidine Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Polyol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Glycerol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Amino Acid Transmembrane Transporter Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism

Pathway: Acidic Amino Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Metal Binding and Homeostasis

Pathway: Aromatic Amino Acid Transmembrane Transporter Activity -> Biodomain: Aromatic Amino Acid Transmembrane Transporter Activity, Proteostasis, Lipid Metabolism, Apoptosis, Immune Response

Pathway: Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism

Pathway: Neutral L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Immune Response

Pathway: L-Alanine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: L-Asparagine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: L-Aspartate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Immune Response

Pathway: L-Cystine Transmembrane Transporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress, Immune Response

Pathway: Gamma-Aminobutyric Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Immune Response, Neurotransmitter System, Apoptosis, Mitochondrial Metabolism

Pathway: L-Glutamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Glycine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: L-Isoleucine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: L-Lysine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: L-Leucine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: L-Methionine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis

Pathway: L-Phenylalanine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: L-Proline Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy

Pathway: L-Serine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: L-Threonine Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis

Pathway: L-Tryptophan Transmembrane Transporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Amino-Acid Betaine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy

Pathway: Methylammonium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Structural Stabilization

Pathway: Polyamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Urea Transmembrane Transporter Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

