Once upon a time in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with sparkling stardust. Each night, she sprinkled the stardust over her friends, making their dreams come true as they peacefully slept under the twinkling sky. As the moonlight danced on their fur, Luna whispered, “May your dreams light up the world, just as you light up my heart.”
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Positive Regulation Of Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Regulation Of Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Structural Stabilization, DNA Repair

Pathway: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, DNA Repair, Epigenetic

Pathway: Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Positive Regulation Of T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Respiratory Burst Involved In Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Negative Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Positive Regulation Of Immune System Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Positive Regulation Of Leukocyte Migration -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Cell Cycle

Pathway: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vascular, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, DNA Repair

Pathway: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine Production, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Cytokine Production, Positive Regulation, Cell Cycle, Apoptosis

Pathway: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Cytokine Production, Proteostasis, Apoptosis, Endolysosome

Pathway: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress

Pathway: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Structural Stabilization, Oxidative Stress

Pathway: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome

Pathway: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Myelination, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Myelination, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Peptide Secretion -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Negative Regulation Of Peptide Secretion -> Biodomain: Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Positive Regulation Of Peptide Secretion -> Biodomain: Immune Response, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism

Pathway: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy

Pathway: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome

Pathway: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism, Structural Stabilization

Pathway: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis

Pathway: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle

Pathway: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Mitochondrial Metabolism, Structural Stabilization

Pathway: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, DNA Repair

Pathway: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism

Pathway: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization, Endolysosome

Pathway: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome

Pathway: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization

Pathway: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis

Pathway: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Proteostasis

Pathway: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, DNA Repair

Pathway: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Mitochondrial Metabolism

Pathway: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Cell Cycle

Pathway: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Endolysosome

Pathway: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Immune Response

Pathway: Trabecular Meshwork Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle

Pathway: Response To Ischemia -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism

Pathway: Desmosome Organization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy

Pathway: Bradykinin Biosynthetic Process -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism

Pathway: Trna N1-Guanine Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair

Pathway: Trna N2-Guanine Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Trna Dihydrouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, RNA Spliceosome, DNA Repair

Pathway: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, RNA Spliceosome, DNA Repair

Pathway: Trna C5-Cytosine Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis

Pathway: Trna Threonylcarbamoyladenosine Modification -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Structural Stabilization

Pathway: Leukotriene-C(4) Hydrolase -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism

Pathway: 5'-Deoxynucleotidase Activity -> Biodomain: Nucleotide Metabolism, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regionalization -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Developmental Process Involved In Reproduction -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle

Pathway: Heart Morphogenesis -> Biodomain: Vasculature, Heart Morphogenesis, Immune Response, Apoptosis, Structural Stabilization

Pathway: System Process -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Skeletal Muscle Contraction -> Biodomain: Skeletal Muscle Contraction, Proteostasis, Apoptosis, Synapse, Immune Response

Pathway: Involuntary Skeletal Muscle Contraction -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Muscle System Process -> Biodomain: Muscle System Process, Proteostasis, Apoptosis, Immune Response, Structural Stabilization

Pathway: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Mitochondrial Metabolism

Pathway: Renal System Process -> Biodomain: Vasculature, Immune Response, Apoptosis, Endolysosome, Proteostasis

Pathway: Heart Process -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization

Pathway: Respiratory System Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Lymph Circulation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Vascular Process In Circulatory System -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, Apoptosis

Pathway: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis

Pathway: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis

Pathway: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Cell Cycle

Pathway: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy

Pathway: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Endolysosome

Pathway: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis

Pathway: Angiotensin-Mediated Drinking Behavior -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Mitochondrial Metabolism

Pathway: Regulation Of Heart Rate By Hormone -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization

Pathway: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization

Pathway: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Cell Cycle, Apoptosis

Pathway: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization

Pathway: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis

Pathway: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Renal Water Homeostasis -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Renal Water Retention -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome

Pathway: Pressure Natriuresis -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Endolysosome

Pathway: Renal Sodium Ion Transport -> Biodomain: Vasculature, Sodium Ion Transport, Immune Response, Proteostasis, Lipid Metabolism

Pathway: Renal Water Transport -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization

Pathway: Positive Regulation Of Glomerular Filtration -> Biodomain: Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Negative Regulation Of Glomerular Filtration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Endolysosome

Pathway: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Detection Of Nodal Flow -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Endolysosome

Pathway: Heart Field Specification -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Apoptosis, Cell Cycle

Pathway: Heart Induction -> Biodomain: Immune Response, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Endolysosome

Pathway: Mesodermal-Endodermal Cell Signaling -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Cell Cycle, Myelination

Pathway: Endodermal-Mesodermal Cell Signaling -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome

